Year,"Employment rate (aged 16 to 64, seasonally adjusted): %"
2010,70.4
2011,70.3
2012,71
2013,71.5
2014,72.8
2015,73.6
2016,74.2
2017,74.8
2018,75.4
2019,75.8
2020,75
2021,74.7
2022,75.1
2023,75.1
